version		features
213ah		the same as v211ah, but has analog FFB output with 2x12bit DAC MCP4275

- firmware HEX versions bellow require wheel control v2.5 or newer

220		encoder, 4 axis, 8 buttons, 100k CPR, wheel angle as metric for conditional effects, shift register fix, button matrix, 2 FFB axis, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring, manual pedal axis calibration, pwm0.50.100 mode, rcm pwm mode, X-axis calibration 0-65k, encoder z-index reset
220a		the same as v220, with pedal autocalib instead of manual calib
220z		the same as v220, with z-index support
220c		the same as v220, with hardware wheel recenter button on pin D2
220f		the same as v220, with XY analog shiffter support
220cf		the same as v220c, with XY analog shiffter support
220ct		the same as v220c, with 4x4 button matrix support
220acf		the same as v220cf, with automatic pedal calibration
220zf		the same as v220, with z-index and XY analog shiffter support
220azf		the same as v210zf, with pedal autocalib instead of manual calib
220ht		the same as v220, with 4x4 button matrix and a hat switch support
220azht		the same as v220ht, with automatic pedal calibration and z-index support
220acht		the same as v220ht, with automatic pedal calibration and hardware wheel recenter button on pin D2
221ah		the same as v220a, with shifter register and hat switch support 
221s		the same as v220, with support for ADS1015 external ADC for pedals and shift register
221chf		the same as v210cf, with a hat switch and shift register		
222ah		the same as v221ah, with load cell support with HX711
222h		the same as v222ah, but with manual pedal calibration
222zh		the same as v221ah, but has Z-index support and has manual pedal calibration instead
223ah		the same as v221ah, but has analog FFB output with 2x12bit DAC MCP4275

- firmware HEX versions bellow require wheel control v2.6.0 or newer

230x		encoder, 4 axis, 8 buttons, 100k CPR, wheel angle as metric for conditional effects, shift register fix, button matrix, 2 FFB axis, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring, manual pedal axis calibration, pwm0.50.100 mode, rcm pwm mode, X-axis calibration 0-65k, encoder z-index reset, additional h-shifter options, FFB on analog axis selector, variable pedal cal values
230ax		the same as v230x, with pedal autocalib instead of manual calib
230zx		the same as v230x, with z-index support
230cx		the same as v230x, with hardware wheel recenter button on pin D2
230ix		the same as v230x, with averaging of analog inputs for pedals (4 samples)
230sx		the same as v230x, with support for ADS1015 external ADC for pedals
230fx		the same as v230x, with XY analog shifter support
230cfx		the same as v230cx, with XY analog shifter support
230ctx		the same as v230cx, with 4x4 button matrix support
230acfx		the same as v230cfx, with automatic pedal calibration
230zfx		the same as v230fx, with z-index support
230azfx		the same as v230zfx, with pedal autocalib instead of manual calib
230htx		the same as v230x, with 4x4 button matrix and a hat switch support
230azhtx	the same as v230htx, with automatic pedal calibration and z-index support
230achtx	the same as v230htx, with automatic pedal calibration and hardware wheel recenter button on pin D2
231ahx		the same as v230ax, with shifter register and hat switch support 
231sx		the same as v230x, with support for ADS1015 external ADC for pedals and shift register
231chfx		the same as v230cfx, with a hat switch and shift register support		
232ahx		the same as v231ahx, with load cell support with HX711
232hx		the same as v232ahx, but with manual pedal calibration
232zhx		the same as v232ahx, with load cell and Z-index support, but has manual pedal calibration instead
232chx		the same as v232hx, with hardware wheel recenter button on pin D2 
233ahx		the same as v232ahx, but has analog FFB output with 2x12bit DAC MCP4275

- firmware HEX versions bellow require wheel control v2.6.1 or newer

240x		encoder, 4 axis, 8 buttons, 100k CPR, wheel angle as metric for conditional effects, shift register fix, button matrix, 2 FFB axis, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring, manual pedal axis calibration, pwm0.50.100 mode, rcm pwm mode, X-axis calibration 0-65k, encoder z-index reset, additional h-shifter options, FFB on analog axis selector, with variable pedal cal values, button pin mapping fixes
240ax		the same as v240x, with pedal autocalib instead of manual calib
240wx		the same as v240x, with magnetic encoder support
240zx		the same as v240x, with z-index support
240cx		the same as v240x, with hardware wheel recenter button on pin D2
240ix		the same as v240x, with averaging of analog inputs for pedals (4 samples)
240sx		the same as v240x, with support for ADS1015 external ADC for pedals
240fx		the same as v240x, with XY analog shifter support
240cfx		the same as v240cx, with XY analog shifter support
240htx		the same as v240x, with 4x4 button matrix and a hat switch support
240chtx		the same as v240htx, with hardware wheel recenter button on pin D2
240acfx		the same as v240cfx, with automatic pedal calibration
240zfx		the same as v240fx, with z-index support
240azfx		the same as v240zfx, with pedal autocalib instead of manual calib
240azhtx	the same as v240htx, with automatic pedal calibration and z-index support
240achtx	the same as v240chtx, with automatic pedal calibration
241ahx		the same as v240ax, with shifter register and hat switch support 
241whx		the same as v240wx, with shifter register and hat switch support
241shx		the same as v240sx, with shift register and hat support
241chfx		the same as v240cfx, with a hat switch and shift register support
242ahx		the same as v241ahx, with load cell support with HX711
242awhx		the same as v242ahx, with magnetic encoder support
242hx		the same as v242ahx, but with manual pedal calibration
242zhx		the same as v242ahx, with load cell and Z-index support, but has manual pedal calibration instead
242chx		the same as v242hx, with hardware wheel recenter button on pin D2
243ahx		the same as v242ahx, but has analog FFB output with 2x12bit DAC MCP4275

- firmware HEX versions bellow require wheel control v2.6.3 or newer

250x		encoder, 4 axis, 8 buttons, 100k CPR, wheel angle as metric for conditional effects, shift register fix, button matrix, 2 FFB axis, periodic effects timing fix, duration and start delay fix, 16bit direction, new HX711 library, debug FFB optimizations, 16x less strong spring, manual pedal axis calibration, pwm0-50-100 mode, rcm pwm mode, X-axis calibration 0-65k, encoder z-index reset, additional h-shifter options, FFB on analog axis selector, with variable pedal cal values, button pin mapping fixes, 2 axis FFB support (for constant, sine, spring), 4 channel PWM output (2CH PWM modes available), dac0-50-100 mode (and its 2CH equivalents)
250ax		the same as v250x, with pedal autocalibration instead of manual calibration
250bx		the same as v250x, with 2 FFB axis and 4 channel PWM output	
250abx		the same as v250bx, with pedal autocalibration		
250bcdwx	the same as v250bx, without optical encoder, with magnetic encoder (AS5600) and hardware wheel recenter button on pin TX
250cx		the same as v250x, with hardware wheel recenter button on pin D2
250zx		the same as v250x, with z-index support		
250ix		the same as v250x, with averaging of analog inputs for pedals (4 samples)
250sx		the same as v250x, with support for 12bit ADS1015 external ADC for pedals
250fx		the same as v250x, with XY analog shifter support
250zfx		the same as v250fx, with z-index support
250acx		the same as v250cx, with pedal autocalibration
250achx		the same as v250acx, with hat switch support	
250cdwhx	similar to v250bcdwx, just with	only 1 FFB axis	
250acdwhx	the same as 250cdwhx, with pedal autocalibration
250htx		the same as v250x, with hat switch and 4x4 button matrix support	
250chtx		the same as v250htx, with recenter button on pin D2
250zhxn		the same as v250zx, with hat switch and shifter register (nano button box)
250achxn	the same as v250cx, with pedal autocalibration, hat switch and shifter register (nano button box)
250achexn	the same as v250achxn, with support for two extra buttons (on pins A2, A3)
250azhxn	the same as v250zhxn, with pedal autocalibration
250xl		the same as v250x, with load cell support with HX711
250hxl		the same as v250xl, with hat switch support
250fxl		the same as v250xl, with XY analog shifter support		
250hxnl		the same as v250hxl, with shifter register (nano button box)
250hfxnl	the same as v250hxnl, with XY analog shifter support
250ahxnl	the same as v250hxnl, with pedal autocalibration	
250zhxnl	the same as v250hxnl, with z-index support
250zhfxnl	the same as v250zhxnl, with XY analog shifter support
250bdwux	the same as v250bx, with support for 2 magnetic encoders (AS5600) via i2C multiplexer (TCA9548A)
250bdcwux	the same as v250bdwux, with hardware wheel recenter button on pin TX
250xg		the same as v250x, with analog FFB output via 2x12bit external DAC (MCP4275)
250bxg		the same as v250xg, with 2 FFB axis and 2 channel analog DAC output	
250bdxg		the same as v250bxg, without optical encoder (full analog firmware)
250bcdwxg	the same as v250bdxg, with magnetic encoder (AS5600) and hardware wheel recenter button on pin TX 	
250hxng		the same as v250xg, with hat switch and shifter register (nano button box)

- firmware HEX versions bellow require wheel control v2.6.4 or newer

250xnr		the same as v250x, with support for 3x8bit shift register chip SN74ALS166N for 24 buttons
250hxnr		the same as v250xnr, with hat switch support
250bdwuxg	the same as v250bdxg, with support for 2 magnetic encoders (AS5600) via i2C multiplexer (TCA9548A)
